df_upper,,df_lower,
X,Y,X,Y
0.9422765946709523,0.10144927536231907,0.9449419266864806,0.013807074957144838
1.090331817043035,0.10950080515297889,1.075303655562001,0.014939483663186204
1.214806318867293,0.12077294685990336,1.2329874472121003,0.01720430107526849
1.3389382961641563,0.13123993558776137,1.3714502868673302,0.020601527193392588
1.5409673153732413,0.14653784219001575,1.5488328220052257,0.023998753311516463
1.6442295206948128,0.15458937198067624,1.775955487070717,0.027395979429640116
1.8618858511069984,0.17069243156199676,1.975392910701517,0.03192561425380491
2.0410759005698726,0.1843800322061192,2.2308890127104686,0.03645524907796993
2.20152187294192,0.19645732689210949,2.4439725282104328,0.039852475196093806
2.40038934398475,0.20933977455716568,2.67740873015922,0.0443821100202586
2.533703950362519,0.219001610305958,2.978078146164861,0.050044153550464765
2.7181429967420945,0.23027375201288247,3.2625294824720084,0.054573788374629784
2.9160081428143902,0.24154589371980673,3.6289071756297187,0.06136824061087731
3.07795956903941,0.25120772946859904,4.1928074850714685,0.07155991896524849
3.231392192758118,0.26086956521739124,4.62833522539376,0.07835437120149602
3.392473250282782,0.27053140096618356,5.148091075003888,0.08741364084982584
3.5615840069418976,0.2785829307568437,5.512644516886834,0.09420809308607336
3.718968802713247,0.28824476650563613,6.369261067949603,0.10892940626460978
3.9255156545009995,0.2995169082125604,7.030867852979354,0.11912108461898085
4.14353385876482,0.31078904991948464,7.528746977082814,0.12591553685522827
4.35008409347632,0.322061191626409,8.247855755711564,0.13837203262168207
4.591682295070262,0.3349436392914653,9.104601502464599,0.15082852838813565
4.846698557041702,0.3462157809983897,10.050341685628707,0.166682250272713
5.08830071564727,0.355877616747182,11.524135600651443,0.18706560698145547
5.307039741641658,0.36598618253597215,13.518872795078357,0.21424341592644547
5.639811343527252,0.3795750870084671,16.224719310208176,0.24821567710768266
5.9934489921003475,0.39316399148096204,18.184448585548463,0.27086385122850765
6.273154607086229,0.4044880785413745,19.921337426705666,0.29124720793725
6.565913679464965,0.4158121656017869,23.19258109109692,0.3252194691184873
6.9776214712521485,0.43166588748636436,14.810128847871491,0.23236195522310532
7.358988309046321,0.4452547919588593,17.111492822202912,0.25840735546205407
7.761199021156176,0.46110851384343676,19.17833248748745,0.2821879382889201
8.247855755711573,0.4769622357280141,21.1704811471063,0.30483611240974495
8.632771280896957,0.48828632278842654,21.990665700074512,0.3138953820580749
9.244086511647179,0.5018752272609215,24.4601880181046,0.33880837359098226
9.749328599623334,0.5154641317334164,26.19229524021645,0.3546620954755597
10.204315695576161,0.5290530362059114,28.26108644974305,0.3750454521843021
10.926917210328813,0.5449067580904888,30.262347924433957,0.39316399148096204
11.524135600651443,0.5607604799750663,32.40532537657687,0.4090177133655395
12.43436626999019,0.5788790192717261,34.43726268252431,0.42487143525011695
13.113975355105808,0.5924679237442211,36.87587972659667,0.4429899745467768
13.830728955554406,0.606056828216716,39.78851090772389,0.46337333125551916
14.697968330769937,0.6207781413952522,42.93119545870068,0.48375668796426163
15.61958691740239,0.6343670458677472,47.39067198225579,0.508669679497169
16.348530497353753,0.6456911329281596,51.133811127232796,0.5290530362059114
17.373645617444602,0.6592800374006546,55.172601084333934,0.5494363929146537
18.463039359372992,0.6717365331671082,58.632133278707386,0.5652901147992312
19.62074223751175,0.6875902550516857,63.745938818927065,0.5845410628019324
20.851037494833772,0.703443976936263,67.74305193794696,0.601527193392551
22.15847694995757,0.7147680639966756,72.54016263156747,0.6173809152771285
23.727592360174917,0.7306217858812529,78.26972735331029,0.6343670458677472
25.407822048514397,0.7464755077658304,83.81226692500333,0.6513531764583658
27.207034386366907,0.7600644122383253,91.81760129020452,0.6717365331671082
29.579990569226425,0.7759181341229027,102.12859499392763,0.6943847072879331
32.40532537657684,0.7917718560074801,111.03609580772574,0.7125032465845931
34.17646136001661,0.8008311256558102,121.64171603683546,0.7306217858812529
35.77142748975997,0.8098903953041401,136.3344097877858,0.7510051425899953
39.48718334981046,0.8246117084826763,153.9678183526166,0.7736533167108203
42.93119545870068,0.83706820424913,176.54584016473962,0.7940366734195626
46.67558906862393,0.8506571087216248,197.87021840484317,0.8121552127162226
53.11483185744346,0.8687756480182848,220.09077903219068,0.8280089346007999
59.984671485256264,0.8846293699028622,241.1127647330058,0.8393330216612125
66.21557727307663,0.8959534569632747,268.18940542188074,0.8529219261337073
76.50489653836581,0.9095423614357696,291.58047769884166,0.8619811957820374
89.06761523216888,0.9231312659082646,331.806161527328,0.8755701002545323
101.35515161993449,0.9333229442626357,369.0675492600721,0.8868941873149447
117.10485217601928,0.9435146226170069,419.9831478113013,0.8993506830813984
132.25112160688516,0.9503090748532544,477.922929824413,0.9072775440236871
152.8017845995808,0.9582359357955431,531.5930350225342,0.9152044049659759
183.38556052762362,0.9661627967378318,591.2902211833434,0.9219988572022233
213.4989429862044,0.9706924315619968,688.3848262508488,0.929925718144512
241.1127647330058,0.9752220663861618,754.1359496633698,0.9355877616747182
272.29814117136056,0.9786192925042856,826.1672960923597,0.9401173964988833
312.2282605725948,0.9820165186224092,933.0232651582368,0.9457794400290895
352.61167142780704,0.9842813360344917,1037.800528747021,0.9514414835592957
436.254090731693,0.9876785621526155,1208.215713824632,0.9571035270895019
609.5464623577426,0.9922081969767804,1323.6185197541192,0.9605007532076256
720.5107526460229,0.9944730143888629,1483.4939489033104,0.9638979793257494
905.0787214655902,0.9956054230949042,,
1154.34413876586,0.9956054230949042,,
1483.4939489033136,0.9956054230949042,,
